osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent,building_age
61739060,0,61739060,54,39,7,no,6971693.7405,29367976.0,80.0,47.0,13.0,-127825.0199,6971697.9685,5,-127821.46,68.0,
61739060,0,61739060,54,39,7,no,6971693.7405,29367976.0,80.0,47.0,13.0,-127825.0199,6971697.9685,5,-127821.46,68.0,
229073538,0,229073538,49,36,6,no,6971692.1622,29367976.0,80.0,47.0,13.0,-127825.0199,6971697.9685,2,-127827.41,61.0,
229073538,0,229073538,49,36,6,no,6971692.1622,29367976.0,80.0,47.0,13.0,-127825.0199,6971697.9685,2,-127827.41,61.0,
61739063,0,61739063,58,38,6,no,6971570.4777,29368732.0,73.0,44.0,11.0,-127814.092,6971566.2629,3,-127813.93,79.0,
61739064,0,61739064,51,38,6,no,6971610.6378,29368445.0,79.0,47.0,12.0,-127818.2661,6971615.5772,5,-127814.46,65.0,
61739064,0,61739064,51,38,6,no,6971610.6378,29368445.0,79.0,47.0,12.0,-127818.2661,6971615.5772,5,-127814.46,65.0,
229073542,0,229073542,51,37,6,no,6971610.2635,29368445.0,79.0,47.0,12.0,-127818.2661,6971615.5772,2,-127820.51,65.0,
229073542,0,229073542,51,37,6,no,6971610.2635,29368445.0,79.0,47.0,12.0,-127818.2661,6971615.5772,2,-127820.51,65.0,
61739068,1,61739068,49,37,6,yes,6971857.0645,29366817.0,79.0,47.0,12.0,-127838.8335,6971863.1333,6,-127835.31,62.0,
61739068,1,61739068,49,37,6,yes,6971857.0645,29366817.0,79.0,47.0,12.0,-127838.8335,6971863.1333,6,-127835.31,62.0,
229073541,0,229073541,51,37,6,no,6971856.5435,29366817.0,79.0,47.0,12.0,-127838.8335,6971863.1333,2,-127841.22,65.0,
229073541,0,229073541,51,37,6,no,6971856.5435,29366817.0,79.0,47.0,12.0,-127838.8335,6971863.1333,2,-127841.22,65.0,
61739077,0,61739077,44,27,5,no,6971949.657,29345850.0,125.0,52.0,11.0,-128068.2811,6971950.1162,2,-128070.78,35.0,
61739085,0,61739085,50,37,6,no,6971818.8243,29367171.0,81.0,47.0,12.0,-127834.5383,6971812.6706,4,-127832.38,62.0,
61739085,0,61739085,50,37,6,no,6971818.8243,29367171.0,81.0,47.0,12.0,-127834.5383,6971812.6706,4,-127832.38,62.0,
229073531,0,229073531,49,37,6,no,6971818.4186,29367171.0,81.0,47.0,12.0,-127834.5383,6971812.6706,2,-127838.37,60.0,
229073531,0,229073531,49,37,6,no,6971818.4186,29367171.0,81.0,47.0,12.0,-127834.5383,6971812.6706,2,-127838.37,60.0,
61739086,0,61739086,49,36,6,no,6971823.2667,29369269.0,82.0,48.0,10.0,-127814.9336,6971820.3707,2,-127811.49,60.0,
61739086,0,61739086,49,36,6,no,6971823.2667,29369269.0,82.0,48.0,10.0,-127814.9336,6971820.3707,2,-127811.49,60.0,
229073557,0,229073557,51,37,6,no,6971817.2452,29369269.0,82.0,48.0,10.0,-127814.9336,6971820.3707,1,-127811.03,62.0,
229073557,0,229073557,51,37,6,no,6971817.2452,29369269.0,82.0,48.0,10.0,-127814.9336,6971820.3707,1,-127811.03,62.0,
61739087,0,61739087,48,36,6,no,6971774.9131,29367365.0,77.0,46.0,12.0,-127831.9018,6971780.6602,5,-127828.46,62.0,
61739087,0,61739087,48,36,6,no,6971774.9131,29367365.0,77.0,46.0,12.0,-127831.9018,6971780.6602,5,-127828.46,62.0,
229073539,0,229073539,49,36,6,no,6971774.5347,29367365.0,77.0,46.0,12.0,-127831.9018,6971780.6602,2,-127834.44,64.0,
229073539,0,229073539,49,36,6,no,6971774.5347,29367365.0,77.0,46.0,12.0,-127831.9018,6971780.6602,2,-127834.44,64.0,
61739088,0,61739088,62,38,9,no,6971785.8523,29363209.0,170.0,64.0,11.0,-127910.3003,6971788.6138,2,-127914.76,36.0,
61739090,0,61739090,49,37,6,no,6971962.616,29368401.0,106.0,51.0,9.0,-127826.9815,6971962.449,1,-127822.82,46.0,
61739091,1,61739091,53,40,7,yes,6971899.9921,29366625.0,81.0,47.0,14.0,-127841.4919,6971895.1409,5,-127839.89,65.0,
61739092,0,61739092,51,37,6,no,6971941.6086,29366318.0,82.0,47.0,11.0,-127845.7361,6971945.5595,4,-127844.48,62.0,
61739094,0,61739094,49,37,6,no,6971849.1933,29369053.0,78.0,48.0,6.0,-127817.9029,6971852.3635,1,-127813.39,63.0,
61739094,0,61739094,49,37,6,no,6971849.1933,29369053.0,78.0,48.0,6.0,-127817.9029,6971852.3635,1,-127813.39,63.0,
229073556,1,229073556,48,36,6,yes,6971855.0641,29369053.0,78.0,48.0,6.0,-127817.9029,6971852.3635,3,-127813.92,62.0,
229073556,1,229073556,48,36,6,yes,6971855.0641,29369053.0,78.0,48.0,6.0,-127817.9029,6971852.3635,3,-127813.92,62.0,
61739096,1,61739096,49,36,6,yes,6971905.5267,29368740.0,80.0,48.0,8.0,-127821.9953,6971902.9821,3,-127817.83,61.0,
61739098,1,61739098,49,29,5,yes,6972005.2209,29343862.0,144.0,49.0,12.0,-128103.8313,6972004.8749,3,-128106.89,34.0,
61739101,1,61739101,65,34,9,yes,6972150.9432,29347974.0,191.0,59.0,11.0,-128033.9643,6972146.551,2,-128040.52,34.0,
61739102,0,61739102,36,26,5,no,6972156.2284,29331407.0,105.0,56.0,16.0,-128252.3669,6972151.8503,2,-128252.41,34.0,
61739102,0,61739102,36,26,5,no,6972156.2284,29331407.0,105.0,56.0,16.0,-128252.3669,6972151.8503,2,-128252.41,34.0,
231618463,0,231618463,37,26,4,no,6972150.2725,29331407.0,105.0,56.0,16.0,-128252.3669,6972151.8503,2,-128255.42,35.0,
231618463,0,231618463,37,26,4,no,6972150.2725,29331407.0,105.0,56.0,16.0,-128252.3669,6972151.8503,2,-128255.42,35.0,
61739108,0,61739108,73,39,4,no,6972096.045,29329598.0,104.0,57.0,19.0,-128281.6894,6972091.4195,6,-128266.07,70.0,
61739108,0,61739108,73,39,4,no,6972096.045,29329598.0,104.0,57.0,19.0,-128281.6894,6972091.4195,6,-128266.07,70.0,
